Class ID,Parents,Preferred Label
http://purl.obolibrary.org/obo/VO_0002951,http://purl.obolibrary.org/obo/VO_0001507,"Bovine respiratory syncytial virus glycoprotein G mutant vaccine"
http://purl.obolibrary.org/obo/VO_0004350,http://purl.obolibrary.org/obo/VO_0000295,"HIV recombinant vector vaccine MVA.HIVA encoding env and rev"
http://purl.obolibrary.org/obo/VO_0011369,http://purl.obolibrary.org/obo/VO_0000177,"cancer DNA vaccine encoding TEM8"
http://purl.obolibrary.org/obo/VO_0001776,http://purl.obolibrary.org/obo/VO_0000460,"Equine Influenza Modified Live Virus Vaccine (USDA: 1501.10)"
http://purl.obolibrary.org/obo/PATO_0001677,http://purl.obolibrary.org/obo/PATO_0001029,"inefficient"
http://purl.obolibrary.org/obo/VO_0010773,http://purl.obolibrary.org/obo/VO_0010753,"Coxiella burnetii protein"
http://purl.obolibrary.org/obo/VO_0010843,http://purl.obolibrary.org/obo/VO_0010754,"Hendra virus protein"
http://purl.obolibrary.org/obo/VO_0000261,http://purl.obolibrary.org/obo/VO_0000207,"usage of steroid"
http://purl.obolibrary.org/obo/VO_0001005,http://purl.obolibrary.org/obo/VO_0000435,"pSecTag2 C DNA vaccine plasmid"
http://purl.obolibrary.org/obo/VO_0002239,http://purl.obolibrary.org/obo/VO_0002392,"Canine Coronavirus Killed Virus Vaccine-Borrelia Burgdorferi Bacterin (USDA: 47A5.20)"
http://purl.obolibrary.org/obo/VO_0010984,http://purl.obolibrary.org/obo/VO_0010766,"Hma"
http://purl.obolibrary.org/obo/VO_0001367,http://purl.obolibrary.org/obo/VO_0000017,"heat-killed vaccine"
http://purl.obolibrary.org/obo/CHEBI_32111,http://purl.obolibrary.org/obo/CHEBI_23367,"saccharin"
http://purl.obolibrary.org/obo/VO_0003082,http://purl.obolibrary.org/obo/VO_0000763,"Vaxchora"
http://purl.obolibrary.org/obo/NCBITaxon_439488,http://purl.obolibrary.org/obo/NCBITaxon_10239,"ssRNA viruses"
http://purl.obolibrary.org/obo/BFO_0000031,http://purl.obolibrary.org/obo/BFO_0000002,"generically dependent continuant"
http://purl.obolibrary.org/obo/VO_0002384,http://purl.obolibrary.org/obo/VO_0002365,"chicken Bursal Disease-Newcastle Disease-Reovirus Vaccine"
http://purl.obolibrary.org/obo/VO_0002090,http://purl.obolibrary.org/obo/VO_0002413,"Canine Distemper-Adenovirus Type 2-Parvovirus Modified Live Virus Vaccine (USDA: 1331.20)"
http://purl.obolibrary.org/obo/VO_0002950,http://purl.obolibrary.org/obo/VO_0001482,"Bovine herpesvirus 1 US8 (gE) mutant vaccine"
http://purl.obolibrary.org/obo/DOID_12365,http://purl.obolibrary.org/obo/DOID_2789,"malaria"
http://purl.obolibrary.org/obo/VO_0001777,http://purl.obolibrary.org/obo/VO_0000460,"Equine Influenza Modified Live Virus Vaccine (USDA: 1501.20)"
http://purl.obolibrary.org/obo/VO_0000953,http://purl.obolibrary.org/obo/VO_0000886,"pharyngeal mucosal route"
http://purl.obolibrary.org/obo/VO_0001619,http://purl.obolibrary.org/obo/VO_0001502,"Bronchitis Mass & Ark Types, Killed Virus Vaccine (USDA: 1235.15)"
http://purl.obolibrary.org/obo/VO_0001094,http://purl.obolibrary.org/obo/OBI_0000181,"pregnant women"
http://purl.obolibrary.org/obo/VO_0000833,http://purl.obolibrary.org/obo/VO_0000648,"Yersinia PAV"
http://purl.obolibrary.org/obo/VO_0011137,http://purl.obolibrary.org/obo/VO_0010782,"NP from Influenza A virus (A/chicken/Hubei/489/2004(H5N1))"
http://purl.obolibrary.org/obo/VO_0000466,http://purl.obolibrary.org/obo/VO_0000628,"soybean-expressed E. coli LTB vaccine"
http://purl.obolibrary.org/obo/VO_0004353,http://purl.obolibrary.org/obo/VO_0000644,"Duck hepatitis B DNA vaccine pcDNA I-S encoding small S proteins"
http://purl.obolibrary.org/obo/VO_0004084,http://purl.obolibrary.org/obo/VO_0012187,"HC of type C and D"
http://purl.obolibrary.org/obo/VO_0011366,http://purl.obolibrary.org/obo/VO_0000177,"cancer subunit NY-ESO-1 protein vaccine"
http://purl.obolibrary.org/obo/VO_0000479,http://purl.obolibrary.org/obo/VO_0000471,"nontypeable H. influenzae cell membrane vaccine (CM-Hi)"
http://purl.obolibrary.org/obo/VO_0001428,http://purl.obolibrary.org/obo/OGG_2000000002,"Yersinia ruckeri gene"
