source,target,relation
http://purl.obolibrary.org/obo/VO_0001836,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0001793,http://purl.obolibrary.org/obo/NCBITaxon_9823,vaccine immunization for host
http://purl.obolibrary.org/obo/VO_0001629,http://purl.obolibrary.org/obo/VO_0000173,has quality
http://purl.obolibrary.org/obo/VO_0003067,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0001455,http://purl.obolibrary.org/obo/NCBITaxon_11241,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0002480,http://purl.obolibrary.org/obo/NCBITaxon_2099,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0000091,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0002139,http://purl.obolibrary.org/obo/VO_0000211,has quality
http://purl.obolibrary.org/obo/VO_0001999,http://purl.obolibrary.org/obo/VO_0000173,has quality
http://purl.obolibrary.org/obo/VO_0004493,http://purl.obolibrary.org/obo/NCBITaxon_11002,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0004268,http://purl.obolibrary.org/obo/NCBITaxon_12721,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0001795,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0011472,http://purl.obolibrary.org/obo/VO_0011064,expresses
http://purl.obolibrary.org/obo/VO_0004311,http://purl.obolibrary.org/obo/NCBITaxon_11309,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0004736,http://purl.obolibrary.org/obo/NCBITaxon_11082,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0001581,http://purl.obolibrary.org/obo/VO_0000173,has quality
http://purl.obolibrary.org/obo/VO_0002318,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0002105,http://purl.obolibrary.org/obo/VO_0000173,has quality
http://purl.obolibrary.org/obo/VO_0011235,http://purl.obolibrary.org/obo/VO_0000457,has role
http://purl.obolibrary.org/obo/VO_0002111,http://purl.obolibrary.org/obo/VO_0000173,has quality
http://purl.obolibrary.org/obo/VO_0011559,http://purl.obolibrary.org/obo/NCBITaxon_9606,vaccine immunization for host
http://purl.obolibrary.org/obo/VO_0001937,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0002233,http://purl.obolibrary.org/obo/VO_0000211,has quality
http://purl.obolibrary.org/obo/VO_0001671,http://purl.obolibrary.org/obo/VO_0000173,has quality
http://purl.obolibrary.org/obo/VO_0010714,http://purl.obolibrary.org/obo/VO_0000912,has vaccine allergen
http://purl.obolibrary.org/obo/VO_0001910,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0001783,http://purl.obolibrary.org/obo/NCBITaxon_9796,vaccine immunization for host
http://purl.obolibrary.org/obo/VO_0000045,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0001924,http://purl.obolibrary.org/obo/VO_0000173,has quality
http://purl.obolibrary.org/obo/VO_0004096,http://purl.obolibrary.org/obo/NCBITaxon_10255,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0000982,http://purl.obolibrary.org/obo/VO_0000343,vaccinated in route
http://purl.obolibrary.org/obo/VO_0000046,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0002120,http://purl.obolibrary.org/obo/VO_0000173,has quality
http://purl.obolibrary.org/obo/VO_0001760,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0003085,http://purl.obolibrary.org/obo/VO_0000128,has part
http://purl.obolibrary.org/obo/VO_0010734,http://purl.obolibrary.org/obo/VO_0000173,has quality
http://purl.obolibrary.org/obo/VO_0004682,http://purl.obolibrary.org/obo/NCBITaxon_11309,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0002427,http://purl.obolibrary.org/obo/NCBITaxon_9685,vaccine immunization for host
http://purl.obolibrary.org/obo/VO_0002657,http://purl.obolibrary.org/obo/VO_0001361,has role
http://purl.obolibrary.org/obo/VO_0000064,http://purl.obolibrary.org/obo/NCBITaxon_9606,vaccine immunization for host
http://purl.obolibrary.org/obo/VO_0004274,http://purl.obolibrary.org/obo/NCBITaxon_12721,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0002421,http://purl.obolibrary.org/obo/NCBITaxon_10326,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0000418,http://purl.obolibrary.org/obo/VO_0001187,is_specified_input_of
http://purl.obolibrary.org/obo/VO_0010739,http://purl.obolibrary.org/obo/VO_0000864,has role
http://purl.obolibrary.org/obo/VO_0004290,http://purl.obolibrary.org/obo/NCBITaxon_11309,vaccine immunization against microbe
